#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,,,#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,Dato,TRSY 10
,,,,,10/1/99,4.812,,2009-04-01,4.41502
,,,,,11/1/99,5.041,,2009-07-01,4.47265
,,,,,12/1/99,5.258,,2009-10-01,4.45724
,,,,,1/1/00,5.405,,2010-01-01,4.52796
,,,,,2/1/00,5.692,,2010-04-01,4.46543
,,,,,3/1/00,5.749,,2010-07-01,4.23889
,,,,,4/1/00,5.815,,2010-10-01,4.27204
,,,,,5/1/00,5.796,,2011-01-01,4.45533
,,,,,6/1/00,5.696,,2011-04-01,4.37841
,,,,,7/1/00,5.858,,2011-07-01,4.09619
,,,,,8/1/00,6.136,,2011-10-01,3.93105
,,,,,9/1/00,6.263,,2012-01-01,3.92776
,,,,,10/1/00,6.193,,2012-04-01,3.81682
,,,,,11/1/00,6.355,,2012-07-01,3.71028
,,,,,12/1/00,6.209,,2012-10-01,3.74958
,,,,,1/1/01,5.868,,2013-01-01,3.88315
,,,,,2/1/01,4.998,,2013-04-01,3.90106
,,,,,3/1/01,4.853,,2013-07-01,4.21049
,,,,,4/1/01,4.263,,2013-10-01,4.2243
,,,,,5/1/01,3.9,,2014-01-01,4.232
,,,,,6/1/01,3.651,,2014-04-01,4.17835
,,,,,7/1/01,3.666,,2014-07-01,4.13091
,,,,,8/1/01,3.533,,2014-10-01,4.03722
,,,,,9/1/01,3.306,,2015-01-01,3.89226
,,,,,10/1/01,2.346,,2015-04-01,3.98694
,,,,,11/1/01,2.048,,2015-07-01,4.01373
,,,,,12/1/01,1.787,,2015-10-01,3.99893
,,,,,1/1/02,1.735,,2016-01-01,3.86414
,,,,,2/1/02,1.766,,2016-04-01,3.77452
,,,,,3/1/02,1.782,,2016-07-01,3.6623
,,,,,4/1/02,1.823,,2016-10-01,3.975
,,,,,5/1/02,1.782,,2017-01-01,4.10952
,,,,,6/1/02,1.746,,2017-04-01,4.0306
,,,,,7/1/02,1.726,,2017-07-01,4.02192
,,,,,8/1/02,1.69,,2017-10-01,4.07831
,,,,,9/1/02,1.684,,2018-01-01,4.22951
,,,,,10/1/02,1.592,,2018-04-01,4.28661
,,,,,11/1/02,1.433,,2018-07-01,4.2877
,,,,,12/1/02,1.239,,2018-10-01,4.32705
,,,,,1/1/03,1.219,,2019-01-01,4.19048
,,,,,2/1/03,1.177,,2019-04-01,4.06449
,,,,,3/1/03,1.208,,2019-07-01,3.80147
,,,,,4/1/03,1.127,,2019-10-01,3.79811
,,,,,5/1/03,1.106,,2020-01-01,3.52597
,,,,,6/1/03,1.137,,2020-04-01,2.84029
,,,,,7/1/03,0.897,,2020-07-01,2.78499
,,,,,8/1/03,0.942,,2020-10-01,3.06923
,,,,,9/1/03,0.973,,,
,,,,,10/1/03,0.948,,,
,,,,,11/1/03,0.932,,,
,,,,,12/1/03,0.948,,,
,,,,,1/1/04,0.927,,,
,,,,,2/1/04,0.907,,,
,,,,,3/1/04,0.948,,,
,,,,,4/1/04,0.932,,,
,,,,,5/1/04,0.968,,,
,,,,,6/1/04,1.072,,,
,,,,,7/1/04,1.208,,,
,,,,,8/1/04,1.423,,,
,,,,,9/1/04,1.567,,,
,,,,,10/1/04,1.68,,,
,,,,,11/1/04,1.889,,,
,,,,,12/1/04,2.207,,,
,,,,,1/1/05,2.206,,,
,,,,,2/1/05,2.5,,,
,,,,,3/1/05,2.741,,,
,,,,,4/1/05,2.766,,,
,,,,,5/1/05,2.868,,,
,,,,,6/1/05,2.94,,,
,,,,,7/1/05,3.11,,,
,,,,,8/1/05,3.393,,,
,,,,,9/1/05,3.415,,,
,,,,,10/1/05,3.527,,,
,,,,,11/1/05,3.888,,,
,,,,,12/1/05,3.936,,,
,,,,,1/1/06,4.074,,,
,,,,,2/1/06,4.449,,,
,,,,,3/1/06,4.594,,,
,,,,,4/1/06,4.597,,,
,,,,,5/1/06,4.752,,,
,,,,,6/1/06,4.817,,,
,,,,,7/1/06,4.974,,,
,,,,,8/1/06,5.074,,,
,,,,,9/1/06,4.985,,,
,,,,,10/1/06,4.871,,,
,,,,,11/1/06,5.051,,,
,,,,,12/1/06,5.002,,,
,,,,,1/1/07,5.016,,,
,,,,,2/1/07,5.097,,,
,,,,,3/1/07,5.097,,,
,,,,,4/1/07,5.016,,,
,,,,,5/1/07,4.875,,,
,,,,,6/1/07,4.719,,,
,,,,,7/1/07,4.791,,,
,,,,,8/1/07,4.872,,,
,,,,,9/1/07,4.084,,,
,,,,,10/1/07,3.78,,,
,,,,,11/1/07,3.755,,,
,,,,,12/1/07,2.984,,,
,,,,,1/1/08,3.247,,,
,,,,,2/1/08,1.905,,,
,,,,,3/1/08,1.612,,,
,,,,,4/1/08,1.336,,,
,,,,,5/1/08,1.408,,,
,,,,,6/1/08,1.833,,,
,,,,,7/1/08,1.864,,,
,,,,,8/1/08,1.659,,,
,,,,,9/1/08,1.726,,,
,,,,,10/1/08,0.798,,,
,,,,,11/1/08,0.452,,,
,,,,,12/1/08,0.025,,,
,,,,,1/1/09,0.127,,,
,,,,,2/1/09,0.264,,,
,,,,,3/1/09,0.243,,,
,,,,,4/1/09,0.208,,,
,,,,,5/1/09,0.155,,,
,,,,,6/1/09,0.099,,,
,,,,,7/1/09,0.172,,,
,,,,,8/1/09,0.193,,,
,,,,,9/1/09,0.142,,,
,,,,,10/1/09,0.101,,,
,,,,,11/1/09,0.051,,,
,,,,,12/1/09,0.056,,,
,,,,,1/1/10,0.061,,,
,,,,,2/1/10,0.091,,,
,,,,,3/1/10,0.127,,,
,,,,,4/1/10,0.162,,,
,,,,,5/1/10,0.167,,,
,,,,,6/1/10,0.152,,,
,,,,,7/1/10,0.172,,,
,,,,,8/1/10,0.147,,,
,,,,,9/1/10,0.137,,,
,,,,,10/1/10,0.157,,,
,,,,,11/1/10,0.114,,,
,,,,,12/1/10,0.165,,,
,,,,,1/1/11,0.124,,,
,,,,,2/1/11,0.157,,,
,,,,,3/1/11,0.139,,,
,,,,,4/1/11,0.063,,,
,,,,,5/1/11,0.035,,,
,,,,,6/1/11,0.046,,,
,,,,,7/1/11,0.018,,,
,,,,,8/1/11,0.081,,,
,,,,,9/1/11,0.015,,,
,,,,,10/1/11,0.008,,,
,,,,,11/1/11,0.005,,,
,,,,,12/1/11,-0.002,,,
,,,,,1/1/12,0.02,,,
,,,,,2/1/12,0.061,,,
,,,,,3/1/12,0.074,,,
,,,,,4/1/12,0.079,,,
,,,,,5/1/12,0.091,,,
,,,,,6/1/12,0.068,,,
,,,,,7/1/12,0.101,,,
,,,,,8/1/12,0.096,,,
,,,,,9/1/12,0.091,,,
,,,,,10/1/12,0.086,,,
,,,,,11/1/12,0.099,,,
,,,,,12/1/12,0.096,,,
,,,,,1/1/13,0.046,,,
,,,,,2/1/13,0.068,,,
,,,,,3/1/13,0.106,,,
,,,,,4/1/13,0.079,,,
,,,,,5/1/13,0.056,,,
,,,,,6/1/13,0.048,,,
,,,,,7/1/13,0.041,,,
,,,,,8/1/13,0.041,,,
,,,,,9/1/13,0.03,,,
,,,,,10/1/13,0.03,,,
,,,,,11/1/13,0.041,,,
,,,,,12/1/13,0.061,,,
,,,,,1/1/14,0.073,,,
,,,,,2/1/14,0.053,,,
,,,,,3/1/14,0.051,,,
,,,,,4/1/14,0.041,,,
,,,,,5/1/14,0.028,,,
,,,,,6/1/14,0.035,,,
,,,,,7/1/14,0.041,,,
,,,,,8/1/14,0.025,,,
,,,,,9/1/14,0.025,,,
,,,,,10/1/14,0.018,,,
,,,,,11/1/14,0.008,,,
,,,,,12/1/14,0.015,,,
,,,,,1/1/15,0.041,,,
,,,,,2/1/15,0.01,,,
,,,,,3/1/15,0.013,,,
,,,,,4/1/15,0.038,,,
,,,,,5/1/15,0.008,,,
,,,,,6/1/15,0.01,,,
,,,,,7/1/15,0.013,,,
,,,,,8/1/15,0.069,,,
,,,,,9/1/15,0.053,,,
,,,,,10/1/15,-0.01,,,
,,,,,11/1/15,0.064,,,
,,,,,12/1/15,0.216,,,
,,,,,1/1/16,0.178,,,
,,,,,2/1/16,0.31,,,
,,,,,3/1/16,0.335,,,
