Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q3 2005,3.47,9/30/05,340.129,3.47,3.11,318.021,493.76,3.505,167.2169,,Q2 1999,2.62,-0.1,690.0646,3.19,,,,,,,,,,,,,,,,,,,,,,,
Q4 2005,3.99,12/31/05,333.544,3.99,3.527,314.886,498.56,4.045,168.8259,,Q3 1999,2.81,0.42,709.4554,2.95,,,,,,,,,,,,,,,,,,,,,,,
Q1 2006,4.52,3/31/06,336.695,4.52,4.074,315.973,503.96,4.54,170.6397,,Q4 1999,2.89,5.6,729.9587,3.42,,,,,,,,,,,,,,,,,,,,,,,
Q2 2006,4.87,6/30/06,326.838,4.87,4.597,312.263,509.96,4.98,172.6591,,Q1 2000,2.4,-0.9,747.4777,2.74,,,,,,,,,,,,,,,,,,,,,,,
Q3 2006,4.77,9/30/06,323.433,4.77,4.974,311.998,516.6,5.45,174.8913,,Q2 2000,3.05,5.06,770.2757,3.65,,,,,,,,,,,,,,,,,,,,,,,
Q4 2006,4.89,12/31/06,340.621,4.89,4.871,323.029,523.58,5.315,177.2504,,Q3 2000,2.95,4.47,792.9989,3.87,,,,,,,,,,,,,,,,,,,,,,,
Q1 2007,4.9,3/31/07,341.647,4.9,5.016,324.207,530.57,5.3,179.6089,,Q4 2000,3.32,-1.18,819.3264,3.32,,,,,,,,,,,,,,,,,,,,,,,
Q2 2007,4.68,6/30/07,346.727,4.68,5.016,329.958,537.64,5.295,181.9945,,Q1 2001,2.37,-0.76,838.7445,2.3,,,,,,,,,,,,,,,,,,,,,,,
Q3 2007,3.72,9/30/07,340.826,3.72,4.791,328.03,544.8,5.315,184.4122,,Q2 2001,2.46,11.71,859.3776,1.95,,,,,,,,,,,,,,,,,,,,,,,
Q4 2007,3.29,12/31/07,356.142,3.29,3.78,341.464,552.2,5.19,186.9068,,Q3 2001,1.6,-0.32,873.1276,0.9,,,,,,,,,,,,,,,,,,,,,,,
